areaCode,areaName,areaType,date,cumDeaths28DaysByPublishDate
E07000111,Sevenoaks,ltla,2021-05-02,248
E07000111,Sevenoaks,ltla,2021-05-01,248
E07000111,Sevenoaks,ltla,2021-04-30,248
E07000111,Sevenoaks,ltla,2021-04-29,248
E07000111,Sevenoaks,ltla,2021-04-28,248
E07000111,Sevenoaks,ltla,2021-04-27,248
E07000111,Sevenoaks,ltla,2021-04-26,248
E07000111,Sevenoaks,ltla,2021-04-25,248
E07000111,Sevenoaks,ltla,2021-04-24,248
E07000111,Sevenoaks,ltla,2021-04-23,248
E07000111,Sevenoaks,ltla,2021-04-22,248
E07000111,Sevenoaks,ltla,2021-04-21,248
E07000111,Sevenoaks,ltla,2021-04-20,248
E07000111,Sevenoaks,ltla,2021-04-19,248
E07000111,Sevenoaks,ltla,2021-04-18,248
E07000111,Sevenoaks,ltla,2021-04-17,248
E07000111,Sevenoaks,ltla,2021-04-16,248
E07000111,Sevenoaks,ltla,2021-04-15,248
E07000111,Sevenoaks,ltla,2021-04-14,248
E07000111,Sevenoaks,ltla,2021-04-13,248
E07000111,Sevenoaks,ltla,2021-04-12,248
E07000111,Sevenoaks,ltla,2021-04-11,248
E07000111,Sevenoaks,ltla,2021-04-10,248
E07000111,Sevenoaks,ltla,2021-04-09,248
E07000111,Sevenoaks,ltla,2021-04-08,248
E07000111,Sevenoaks,ltla,2021-04-07,248
E07000111,Sevenoaks,ltla,2021-04-06,248
E07000111,Sevenoaks,ltla,2021-04-05,248
E07000111,Sevenoaks,ltla,2021-04-04,248
E07000111,Sevenoaks,ltla,2021-04-03,248
E07000111,Sevenoaks,ltla,2021-04-02,248
E07000111,Sevenoaks,ltla,2021-04-01,248
E07000111,Sevenoaks,ltla,2021-03-31,248
E07000111,Sevenoaks,ltla,2021-03-30,248
E07000111,Sevenoaks,ltla,2021-03-29,248
E07000111,Sevenoaks,ltla,2021-03-28,248
E07000111,Sevenoaks,ltla,2021-03-27,248
E07000111,Sevenoaks,ltla,2021-03-26,248
E07000111,Sevenoaks,ltla,2021-03-25,248
E07000111,Sevenoaks,ltla,2021-03-24,248
E07000111,Sevenoaks,ltla,2021-03-23,248
E07000111,Sevenoaks,ltla,2021-03-22,248
E07000111,Sevenoaks,ltla,2021-03-21,248
E07000111,Sevenoaks,ltla,2021-03-20,248
E07000111,Sevenoaks,ltla,2021-03-19,248
E07000111,Sevenoaks,ltla,2021-03-18,248
E07000111,Sevenoaks,ltla,2021-03-17,248
E07000111,Sevenoaks,ltla,2021-03-16,248
E07000111,Sevenoaks,ltla,2021-03-15,248
E07000111,Sevenoaks,ltla,2021-03-14,248
E07000111,Sevenoaks,ltla,2021-03-13,248
E07000111,Sevenoaks,ltla,2021-03-12,247
E07000111,Sevenoaks,ltla,2021-03-11,247
E07000111,Sevenoaks,ltla,2021-03-10,247
E07000111,Sevenoaks,ltla,2021-03-09,247
E07000111,Sevenoaks,ltla,2021-03-08,246
E07000111,Sevenoaks,ltla,2021-03-07,246
E07000111,Sevenoaks,ltla,2021-03-06,246
E07000111,Sevenoaks,ltla,2021-03-05,246
E07000111,Sevenoaks,ltla,2021-03-04,246
E07000111,Sevenoaks,ltla,2021-03-03,245
E07000111,Sevenoaks,ltla,2021-03-02,245
E07000111,Sevenoaks,ltla,2021-03-01,243
E07000111,Sevenoaks,ltla,2021-02-28,242
E07000111,Sevenoaks,ltla,2021-02-27,242
E07000111,Sevenoaks,ltla,2021-02-26,242
E07000111,Sevenoaks,ltla,2021-02-25,242
E07000111,Sevenoaks,ltla,2021-02-24,241
E07000111,Sevenoaks,ltla,2021-02-23,241
E07000111,Sevenoaks,ltla,2021-02-22,240
E07000111,Sevenoaks,ltla,2021-02-21,240
E07000111,Sevenoaks,ltla,2021-02-20,240
E07000111,Sevenoaks,ltla,2021-02-19,240
E07000111,Sevenoaks,ltla,2021-02-18,236
E07000111,Sevenoaks,ltla,2021-02-17,236
E07000111,Sevenoaks,ltla,2021-02-16,236
E07000111,Sevenoaks,ltla,2021-02-15,234
E07000111,Sevenoaks,ltla,2021-02-14,235
E07000111,Sevenoaks,ltla,2021-02-13,235
E07000111,Sevenoaks,ltla,2021-02-12,235
E07000111,Sevenoaks,ltla,2021-02-11,234
E07000111,Sevenoaks,ltla,2021-02-10,229
E07000111,Sevenoaks,ltla,2021-02-09,229
E07000111,Sevenoaks,ltla,2021-02-08,225
E07000111,Sevenoaks,ltla,2021-02-07,225
E07000111,Sevenoaks,ltla,2021-02-06,225
E07000111,Sevenoaks,ltla,2021-02-05,225
E07000111,Sevenoaks,ltla,2021-02-04,225
E07000111,Sevenoaks,ltla,2021-02-03,222
E07000111,Sevenoaks,ltla,2021-02-02,220
E07000111,Sevenoaks,ltla,2021-02-01,217
E07000111,Sevenoaks,ltla,2021-01-31,217
E07000111,Sevenoaks,ltla,2021-01-30,217
E07000111,Sevenoaks,ltla,2021-01-29,215
E07000111,Sevenoaks,ltla,2021-01-28,211
E07000111,Sevenoaks,ltla,2021-01-27,205
E07000111,Sevenoaks,ltla,2021-01-26,199
E07000111,Sevenoaks,ltla,2021-01-25,197
E07000111,Sevenoaks,ltla,2021-01-24,196
E07000111,Sevenoaks,ltla,2021-01-23,191
E07000111,Sevenoaks,ltla,2021-01-22,189
E07000111,Sevenoaks,ltla,2021-01-21,186
E07000111,Sevenoaks,ltla,2021-01-20,182
E07000111,Sevenoaks,ltla,2021-01-19,175
E07000111,Sevenoaks,ltla,2021-01-18,172
E07000111,Sevenoaks,ltla,2021-01-17,172
E07000111,Sevenoaks,ltla,2021-01-16,172
E07000111,Sevenoaks,ltla,2021-01-15,170
E07000111,Sevenoaks,ltla,2021-01-14,165
E07000111,Sevenoaks,ltla,2021-01-13,156
E07000111,Sevenoaks,ltla,2021-01-12,152
E07000111,Sevenoaks,ltla,2021-01-11,151
E07000111,Sevenoaks,ltla,2021-01-10,150
E07000111,Sevenoaks,ltla,2021-01-09,148
E07000111,Sevenoaks,ltla,2021-01-08,146
E07000111,Sevenoaks,ltla,2021-01-07,133
E07000111,Sevenoaks,ltla,2021-01-06,127
E07000111,Sevenoaks,ltla,2021-01-05,126
E07000111,Sevenoaks,ltla,2021-01-04,125
E07000111,Sevenoaks,ltla,2021-01-03,125
E07000111,Sevenoaks,ltla,2021-01-02,119
E07000111,Sevenoaks,ltla,2021-01-01,115
E07000111,Sevenoaks,ltla,2020-12-31,111
E07000111,Sevenoaks,ltla,2020-12-30,108
E07000111,Sevenoaks,ltla,2020-12-29,107
E07000111,Sevenoaks,ltla,2020-12-28,106
E07000111,Sevenoaks,ltla,2020-12-27,106
E07000111,Sevenoaks,ltla,2020-12-26,106
E07000111,Sevenoaks,ltla,2020-12-25,106
E07000111,Sevenoaks,ltla,2020-12-24,99
E07000111,Sevenoaks,ltla,2020-12-23,98
E07000111,Sevenoaks,ltla,2020-12-22,98
E07000111,Sevenoaks,ltla,2020-12-21,98
E07000111,Sevenoaks,ltla,2020-12-20,96
E07000111,Sevenoaks,ltla,2020-12-19,96
E07000111,Sevenoaks,ltla,2020-12-18,96
E07000111,Sevenoaks,ltla,2020-12-17,96
E07000111,Sevenoaks,ltla,2020-12-16,93
E07000111,Sevenoaks,ltla,2020-12-15,91
E07000111,Sevenoaks,ltla,2020-12-14,91
